video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Bewertung_Titel;Gestaltung_Thumbnail;theme_Bilder;theme_Krieg;theme_Politik;theme_Sonstiges;theme_Wirtschaft
IP4_CHqX7JM;"""""""Sie wollen uns zurück in die Sowjetunion zerren"""" - Massenproteste in Georgien | #ntv""";29.11.2024 10:52;121;969;39,54;0,0;0;31;1;2;14,0;;;;11,4;;17,4;;16,7;5,1;18,4;9,9;21,2;;;32,0;0;0;0;1;831;15319,0;6,5;1;False;False;False;True;False
Jw4WgM4Npp4;"""""""Nur als Verlierer wahrgenommen"""" - Ramelow bedauert fehlende Wertschätzung Ostdeutschlands | ntv""";18.06.2024 16:15;312;14560;38,41;5,0;3;99;61;36;93,0;;1,8;;4,5;0,9;8,0;1,9;10,7;5,8;21,6;11,6;33,0;;;361,0;79;0;0;61;0;85687,0;7,5;2;False;False;True;False;False
IvA0OJLDkno;SPD-Chef verärgert über Merz' Migrations-Ultimatum - Lars Klingbeil im ntv Frühstart | ntv;04.09.2024 12:46;440;57754;33,59;13,0;3;172;321;36;430,0;0,3;2,7;1,0;8,3;1,8;11,5;3,0;12,5;6,6;18,5;11,5;22,3;;;1298,0;0;0;0;321;0;640076,0;6,5;3;False;False;True;False;False
dVHRPdFpHpk;"""Stimmung in USA könnte """"jetzt sehr gefährlich werden"""" - SPD-Chefin Esken im Frühstart  | ntv""";15.07.2024 10:43;419;14745;40,61;1,0;1;56;124;25;133,0;;1,3;0,8;5,6;1,6;7,9;3,6;9,6;8,3;19,8;16,6;24,8;;;220,0;16;0;0;124;0;61783,0;6,5;2;False;False;True;False;False
_gWvK-qQ-ks;"""Stuttgart21-Start erst 2026? Wann ist """"Deutschlands dümmste Großbaustelle"""" fertig? | ntv""";12.04.2024 14:02;98;5776;65,64;5,0;0;37;11;13;26,0;;6,5;;15,1;;7,8;;7,9;;19,5;2,7;40,5;;;1735,0;13;0;0;11;0;47360,0;6,5;1;False;False;False;False;True
PDVtDLhpB_c;"""""""Bin Biden auf ewig dankbar"""": Harris überrascht Demokraten bei beginnendem Parteitag | ntv""";20.08.2024 10:37;133;23854;0,0;21,0;4;197;240;19;174,0;2,4;12,5;3,8;20,3;3,5;14,1;2,7;9,1;3,8;10,9;5,4;11,4;;;7022,0;437;0;0;240;0;3407051,0;6,5;3;False;False;True;False;False
bmw9n8LvaMQ;"""Reisner zu Drohnen-Macht: """"In Russland wird jetzt in drei Schichten gearbeitet"""" | ntv""";16.04.2024 09:26;243;346654;56,56;87,0;7;1726;250;209;310,0;0,1;1,4;0,3;6,9;0,6;15,6;0,9;19,0;1,6;24,2;2,7;26,6;;;12969,0;585;1;1;250;0;1555368,0;6,5;1;False;True;False;False;False
Lo9xK-I2iAk;"""Russin: Moskaus """"Soldaten sind einfach abgehauen"""" | ntv""";15.08.2024 12:21;94;148177;66,67;104,0;2;1760;249;185;462,0;0,2;1,8;0,5;5,7;1,0;10,5;1,5;12,5;3,9;22,5;7,9;32,0;;;9335,0;3968;30;0;249;0;1700508,0;6,5;2;False;True;False;False;False
66E91tuW6lA;Sparen fürs Alter: Warum langfristiges Investieren einen großen Unterschied macht!  | ntv;04.07.2024 17:16;492;4024;40,33;3,0;0;25;3;9;7,0;;;;13,6;;19,1;;19,1;;32,8;;15,3;;;176,0;6;0;0;3;0;39126,0;7,5;1;False;False;False;False;True
0gqiZzYgnms;Schwappt die US-Immobilienkrise nach Deutschland? | ntv Geldanlage-Check;08.03.2024 18:10;230;2129;47,88;0,0;1;11;3;3;0,0;;;;8,5;;19,3;;19,0;4,6;14,8;7,5;26,2;;;67,0;2;0;0;3;0;28689,0;7,5;2;False;False;False;False;True
C2BL1adUAkw;Preise für Eigentumswohnungen fallen 2023 deutlich - Großstädte am stärksten betroffen | ntv;19.03.2024 17:13;83;18876;61,97;11,0;1;86;24;163;30,0;0,6;5,5;3,0;18,3;3,7;19,8;3,4;13,2;5,1;12,5;5,5;9,5;;;4594,0;111;0;0;24;0;491776,0;8,5;1;False;False;False;False;True
OzchDvtBpHc;"""""""Hoffnungsfroh bei Migration, bei Wirtschaft gespannt"""": Dürr im Frühstart zu Merz | ntv""";18.09.2024 11:33;455;4851;30,29;0,0;0;38;16;10;31,0;;4,5;;6,8;2,9;11,1;4,1;11,9;8,4;16,8;12,8;20,6;;;133,0;2;0;0;16;0;64025,0;6,5;3;False;False;True;False;False
1nodbRkXbJ8;"""""""Die Antwort kann nur Diplomatie sein"""" - Katja Wolf (BSW) zum Ukraine-Krieg | ntv""";28.08.2024 19:17;247;7311;36,98;0,0;0;34;16;10;94,0;;1,4;;5,3;0,5;10,2;1,4;10,2;4,4;21,7;12,6;32,2;;;539,0;0;0;0;16;0;52291,0;6,5;3;False;False;True;False;False
krdom5aB0i8;Kaffee aus der Tube - diese Alternativen gibt es | ntv Startup Magazin;22.09.2024 09:30;294;2528;30,06;0,0;3;40;7;25;23,0;;3,4;;7,9;2,4;15,6;6,4;15,2;6,2;17,9;10,1;14,8;;;221,0;0;0;0;7;0;29572,0;6,5;2;False;False;False;True;False
HPWXfSQq4QE;"""""""AfD fährt Strategie der Normalisierung von unten"""" - Hillje bewertet Parteierfolg | ntv""";23.09.2024 19:23;330;68252;47,19;20,0;1;232;392;67;384,0;0,7;4,3;1,8;10,6;1,9;11,1;3,1;10,8;6,2;15,8;11,7;22,1;;;3516,0;107;0;0;392;0;1028839,0;6,5;3;False;False;True;False;False
wJWipmJctQU;Gescheiterter Enthauptungsschlag: Wie Russland die frühe Schicksalsschlacht um Kiew verlor | ntv;08.09.2024 09:07;319;236506;0,0;87,0;0;1261;281;165;255,0;0,1;1,5;0,3;5,4;0,7;11,0;1,1;14,8;2,2;24,7;4,4;33,7;;;4528,0;0;0;0;281;0;998360,0;7,5;1;False;True;False;False;False
ZaW80PldM44;"""Pistorius empfängt IRIS-System: ESSI soll Europa von """"Schlamm bis zum Weltraum"""" schützen"""" | ntv""";04.09.2024 16:55;852;29760;21,99;4,0;2;137;160;63;162,0;0,4;3,6;1,0;10,0;1,6;15,3;2,0;14,2;3,7;17,3;8,0;22,8;;;869,0;11;5;0;160;0;231522,0;6,5;3;False;True;False;False;False
VRIFd5KU_RE;"""Umgang mit möglichem Trump-Sieg """"ist leichtsinnig"""" - Umbach: Dieses Mal """"völlig anders"""" | ntv""";18.07.2024 11:32;334;39103;46,15;16,0;0;195;115;45;155,0;0,3;1,9;0,6;4,6;1,3;8,6;2,9;11,6;6,8;19,0;17,5;25,0;;;1351,0;71;0;0;115;0;697051,0;7,5;2;False;False;True;False;False
Ms1rARglVNI;Sogar Micaela Schäfer gratuliert: 25 Jahre ntv.de - so sahen Seite und Redaktion früher aus | ntv;28.05.2024 12:42;111;521;36,96;1,0;0;27;5;3;10,0;;;;9,9;;16,8;;14,5;3,8;26,7;8,4;19,8;;;33,0;12;0;0;5;0;17190,0;6,5;1;False;False;False;True;False
r1ySjp0l1HU;Edeka, Lidl, Rewe und Co.: Warum der Einkauf überall das Gleiche kostet | ntv;20.11.2024 15:41;112;21311;31,37;6,0;0;160;14;175;60,0;0,3;1,3;1,8;5,2;3,7;8,2;5,4;7,7;11,3;15,1;18,2;21,7;;;7855,0;45;1;0;14;0;162946,0;6,5;2;False;False;False;False;True
KRIdnJ981Ag;"""""""Deutsche investieren für Black Friday sieben Stunden"""" - Gute Deals oder Augenwischerei? | ntv""";27.11.2024 20:31;224;1222;37,55;0,0;0;5;0;5;6,0;;;;12,4;;17,0;;18,8;9,1;18,8;9,4;14,5;;;55,0;6;0;0;0;0;28099,0;6,5;3;False;False;False;False;True
iVC5Ovuwg9o;Endspurt in Kopf-an-Kopf-Rennen: Harris und Trump kämpfen in Swing States um jede Stimme | ntv;20.10.2024 09:56;109;16578;50,74;13,0;0;149;105;25;115,0;0,6;4,9;1,9;12,9;2,2;12,7;3,0;12,7;5,2;15,6;9,2;19,1;;;1625,0;145;4;0;105;0;970882,0;7,5;2;False;False;True;False;False
HqWCoADUK7k;Angriff im Wahlkampf in Südkorea: Attentäter sticht Politiker vor laufender Kamera in Hals | ntv;02.01.2024 13:15;80;4573;64,78;4,0;0;49;5;47;18,0;0,8;8,7;2,1;16,8;3,3;15,5;3,6;10,5;5,3;12,6;8,4;12,5;;;1284,0;35;0;0;5;0;111026,0;8,5;1;False;False;False;True;False
raPNrNaiT58;Welche Verkehrsmythen stimmen wirklich? | ntv Service;09.10.2024 22:10;306;99800;41,67;11,0;0;209;11;66;43,0;;0,4;0,2;5,2;0,7;14,1;0,9;20,5;2,0;32,1;1,5;22,5;;;5576,0;51;1;0;11;0;444317,0;6,5;3;False;False;False;True;False
-8DJNqQU4r4;Studie mit dramatischem Ergebnis: So stark beeinflussen Handys die Entwicklung von Kindern | ntv;27.10.2024 21:50;140;6319;58,16;3,0;3;96;7;348;24,0;;4,8;2,7;13,7;6,1;21,6;5,4;15,1;4,8;10,8;5,6;9,4;;;798,0;13;0;0;7;0;93451,0;7,5;2;False;False;False;True;False
N6yGb4ijkXU;Terror in Moskau - Neues Video zeigt Feuereröffnung - Kreml führt Gefolterte vor | ntv;25.03.2024 08:51;103;236214;64,56;159,0;7;1232;190;379;731,0;1,6;9,8;3,1;18,7;3,4;14,8;3,1;10,6;4,6;12,1;5,9;12,1;;0,0;65670,0;951;0;0;190;0;4545242,0;7,5;1;False;True;False;False;False
D3BniERNJoQ;"""Die lustigsten Momente aus Merkels Amtszeit - """"Spreche da vor allem Männer an"""" | ntv""";17.07.2024 09:51;176;10072;59,77;5,0;0;96;68;31;95,0;4,7;10,6;7,8;15,3;5,3;9,1;5,2;6,6;8,8;7,0;12,2;7,5;;;880,0;36;0;0;68;0;115038,0;6,5;2;False;False;True;False;False
JsJFC2T6HkQ;"""Faesers """"Compact""""-Verbotsversuch """"ist Heizungsgesetz 2.0"""": Augstein fährt Blome zur Ministerin| ntv""";16.08.2024 17:26;236;122571;50,37;90,0;10;1314;800;293;679,0;0,3;1,0;0,6;3,7;1,3;7,6;3,0;11,2;8,7;20,0;16,9;25,7;;;6037,0;412;14;0;800;0;1704191,0;4,5;3;False;False;True;False;False
LImFaaAMMpc;"""Habecks Wirtschafts-Sondervermögen """"würde allen schaden"""" - Bijan Djir-Sarai im #Frühstart | ntv""";05.02.2024 11:57;462;50084;24,54;14,0;1;205;193;41;0,0;0,4;2,5;0,9;7,9;1,4;10,7;2,8;11,8;6,4;19,0;12,3;23,7;;;4389,0;0;0;0;193;0;1173694,0;6,5;2;False;False;True;False;False
1Lg-8IKb9Ww;"""""""Starship""""-Flug läuft wie geplant: Donald Trump besucht Elon Musk für SpaceX-Raketentest | ntv""";20.11.2024 10:20;85;2096;61,93;0,0;1;26;2;10;8,0;;7,0;2,1;19,6;1,6;20,9;3,0;15,0;2,0;14,4;3,4;11,1;;;210,0;20;0;0;2;0;73015,0;7,5;3;False;False;False;True;False
jYeG2lv7cxo;Explosionen am Himmel: Israel wehrt iranischen Großangriff ab | ntv;14.04.2024 10:48;158;41481;59,04;35,0;1;189;21;110;169,0;0,8;7,3;2,3;18,0;3,4;18,4;3,1;13,6;3,9;13,2;3,9;12,1;;;7039,0;144;0;0;21;0;218745,0;6,5;1;False;True;False;False;False
eD1V7fZ2SQg;"""Fritz: Wenig Widerstand in Partei - """"Trump hat Machtfülle wie selten ein Präsident zuvor"""" | ntv""";14.11.2024 12:45;259;9088;49,92;2,0;1;42;15;18;40,0;;2,9;;8,3;1,2;14,1;3,2;12,8;6,4;18,2;11,2;21,8;;;117,0;38;0;0;15;0;86118,0;6,5;3;False;False;True;False;False
gQRF6AspexY;"""Invasive Art """"wie Flächenbrand"""": Ameisen-Superkolonien wüten in Kehl | ntv""";15.06.2024 13:29;107;14031;35,24;3,0;1;43;5;58;10,0;0,3;0,7;1,6;3,8;5,8;8,9;6,7;10,2;12,0;16,4;13,5;20,1;;;4635,0;0;0;0;5;0;42825,0;6,5;1;False;False;False;True;False
9Poq663VuQE;Diese Hunde sollen Lungenkrebs erschnüffeln können | ntv Service;10.09.2024 20:00;269;1570;29,16;0,0;1;22;1;24;16,0;;;;9,9;;9,4;;12,3;17,8;17,5;18,0;15,1;;;203,0;2;0;0;1;0;26779,0;6,5;2;False;False;False;True;False
5UJL-72Yijw;"""""""China wird sich nicht von Deutschland belehren lassen"""" - China-Experte zum Kanzler-Besuch | ntv""";15.04.2024 13:21;319;304633;44,49;145,0;6;1532;339;296;752,0;0,3;2,2;1,0;6,5;1,8;8,7;3,2;10,0;8,2;16,6;16,5;24,8;;;16291,0;375;0;0;339;0;3083052,0;8,5;1;False;False;True;False;False
ZhIy0LVocco;Mit der Bahn zu EM-Spielen - so wird's unschlagbar günstig | ntv;31.05.2024 07:58;883;547;17,73;1,0;1;4;2;1;2,0;;;;;;;;;;;;;;;21,0;0;0;0;2;0;10566,0;6,5;2;False;False;False;True;False
nwcG5UX_Kkg;Was der Nutri-Score dem Verbraucher verschweigt | ntv Service;22.03.2024 18:28;308;2323;38,86;1,0;0;19;0;9;4,0;;;;16,6;;17,8;;19,5;;14,2;8,3;23,7;;;134,0;3;0;0;0;0;31239,0;6,5;2;False;False;False;True;False
SM2Ak1Ob1Kc;"""""""Ohne uns wäre Scholz der Linkeste im Bundestag"""" - Gregor Gysi im ntv Frühstart | ntv""";21.02.2024 11:35;628;322874;38,22;157,0;6;1447;198;424;0,0;0,1;0,4;0,4;1,2;0,9;2,7;2,3;5,9;8,8;16,5;23,6;37,2;;;10585,0;193;0;0;198;0;1087219,0;6,5;2;False;False;True;False;False
mzv_QZHt7zU;Streng überwachte Touristenreise: Seltene Einblicke - Russin filmt in Nordkorea | ntv;11.11.2024 12:31;299;1517803;52,68;392,0;26;5137;561;1145;694,0;0,4;4,4;1,4;13,1;1,8;15,6;2,0;13,3;3,8;18,2;5,1;20,8;0,0;1,0;75039,0;1121;0;0;561;0;7109353,0;7,5;2;False;False;False;True;False
Bpbq-_KqqFQ;"""""""Da greift man sich an den Kopf"""" - Trumps Truth Social erlöst beim Börsengang Milliarden  | ntv""";27.03.2024 15:39;106;19130;65,48;9,0;2;114;14;60;40,0;;1,1;0,4;5,8;0,8;9,6;1,3;13,8;3,5;25,6;7,4;30,7;;;2520,0;73;0;0;14;0;122048,0;6,5;2;False;False;False;False;True
wkSJlrQ_B2s;"""Ex-Präsident erklärt Land für tot - Trump: """"Die Ukraine ist weg"""" -| ntv""";26.09.2024 16:04;157;495758;64,63;224,0;10;5279;849;2661;1947,0;0,3;2,6;0,8;8,2;1,5;12,6;2,1;13,1;4,6;19,9;9,1;25,3;;0,0;28343,0;2148;44;0;849;0;2880718,0;6,5;3;False;True;False;False;False
xxykF1Rp0r0;"""Merz verspottet Scholz: """"Trump wird Sie wie ein Leichtgewicht abtropfen lassen"""" | ntv""";13.11.2024 16:48;162;78017;61,39;49,0;4;487;255;186;594,0;1,1;9,3;2,2;18,9;2,1;14,9;2,3;11,2;4,2;12,9;6,8;13,8;;1,0;7704,0;1714;0;0;255;0;3037074,0;6,5;3;False;False;True;False;False
7oumH6FXFfA;"""Attentat auf Parteigenossen Putins: """"Messerangreifer sagt, er habe Stimmen im Kopf gehört"""" | ntv""";05.04.2024 11:04;249;121991;0,0;57,0;1;573;52;59;93,0;0,2;0,9;0,4;3,6;1,1;8,8;1,9;13,3;5,6;23,6;11,0;29,5;;;4016,0;0;0;0;52;0;486252,0;6,5;2;False;True;False;False;False
rNLSEe3xOpY;"""""""Grüne wollen Zwietracht säen"""" - CSU-Politikerin Bär zum Abtreibungsgesetz | ntv #Frühstart""";15.04.2024 10:04;427;2484;34,95;0,0;0;18;12;11;20,0;;;;12,1;;23,1;;15,9;5,2;14,5;9,3;20,0;;;108,0;3;0;0;12;0;20687,0;7,5;2;False;False;True;False;False
tS16-f0wD5s;Prokrastination auf Arbeit - Faule Richterin zu fast drei Jahre Haft verurteilt | ntv;08.05.2024 22:14;161;4882;49,77;10,0;1;57;3;51;17,0;;;;9,1;1,8;16,1;1,6;12,0;5,6;22,9;8,8;22,0;;;280,0;11;0;0;3;0;31047,0;6,5;1;False;False;False;True;False
MFnmPIb7Sgs;"""Experte sieht Standortproblem: """"VWs Schwerpunkt sollte nicht in Niedersachsen liegen"""" | ntv""";28.10.2024 16:52;355;114311;44,16;16,0;0;392;51;154;258,0;0,1;1,0;0,4;5,8;0,9;13,5;1,6;16,6;3,3;25,3;5,3;26,1;;;6116,0;240;0;0;51;0;581403,0;7,5;3;False;False;False;False;True
abU17dU0tBM;"""Gewalt gegen Frauen - """"Frage ist: Was sollten Männer tun"""" | ntv""";25.11.2024 16:48;278;9429;32,12;6,0;1;56;94;38;180,0;0,6;4,2;2,5;13,9;4,6;17,2;5,1;13,0;6,6;13,6;7,0;11,7;;;677,0;4;0;0;94;0;419299,0;6,5;3;False;False;True;False;False
eium_0qb-oE;Wie sich Social-Media-Konsum der Jugend regulieren lässt | ntv Service;17.11.2024 16:00;220;1114;36,68;0,0;0;33;2;8;20,0;;;;12,0;3,1;20,1;5,0;15,9;5,0;15,6;7,3;15,9;;;40,0;1;0;0;2;0;27701,0;6,5;2;False;False;False;True;False
xwt9cP6ax0o;Messe, Show, Netzwerk: OMR Festival vernetzt Politiker und Influencer-Szene | ntv;10.05.2024 13:21;283;1154;35,64;1,0;0;9;6;7;6,0;;;;;;;;;;;;;;;225,0;3;0;0;6;0;19562,0;6,5;1;False;False;False;True;False
vWSMqZ3JZQk;Israels Armee startet neuen Einsatz in Chan Junis, Partner machen zunehmend Druck | ntv;25.03.2024 07:39;109;1053;50,86;2,0;0;15;4;4;13,0;;7,9;;16,7;;14,6;2,9;14,4;3,1;12,9;8,4;19,1;;;75,0;11;0;0;4;0;17046,0;6,5;2;False;True;False;False;False
C5D3NJyECdo;Warum in Moskau alles für einen Anschlag des IS spricht - Terrorismusexperte erklärt Hinweise | ntv;23.03.2024 10:01;340;91593;48,17;42,0;1;382;112;101;266,0;1,7;6,9;2,7;10,9;4,2;11,9;4,1;11,1;6,8;13,5;10,5;15,6;;;7863,0;474;0;0;112;0;1795644,0;8,5;2;False;True;False;False;False
wapMWuZDLx8;"""""""Sollten Ukrainer wie andere Geflüchtete behandeln"""" - Vizepräsident Deutscher Landkreistag | ntv""";09.09.2024 21:05;269;27237;46,64;7,0;2;314;19;80;97,0;0,2;0,5;0,7;2,6;1,6;5,6;3,6;7,3;12,1;15,8;25,4;24,4;;;415,0;67;2;4;19;0;146588,0;6,5;3;False;False;True;False;False
GRDcfTXOTTM;Wagenknecht kontra Nouripour: Habe ich so nicht gesagt - Parteichefs im Wahl-Talk | ntv;09.06.2024 21:14;109;244610;65,95;222,0;9;1945;257;363;756,0;1,0;4,3;1,8;8,7;2,2;9,1;3,0;9,4;6,4;17,2;11,5;25,2;;0,0;27367,0;4371;0;0;257;2;4117397,0;6,5;2;False;False;True;False;False
xUty-mqKtKU;Norovirus -Ausbruch am Gardasee: So schützen sich Reisende im Urlaub | ntv;02.07.2024 09:40;151;4527;57,15;3,0;0;25;7;58;13,0;;2,2;2,4;8,4;5,3;13,2;5,3;12,9;11,5;14,2;10,6;13,8;;;1013,0;12;0;0;7;0;47266,0;7,5;1;False;False;False;True;False
CyJ3fFgdkhY;Kanzler telefoniert mit Kreml - Munz: Für Putin ist wichtig, dass Scholz Kontakt gesucht hat | ntv;15.11.2024 16:34;203;239232;0,0;109,0;11;1089;183;253;757,0;0,3;1,9;0,8;5,6;1,6;8,8;2,7;10,9;6,2;18,6;13,7;28,9;;0,0;16189,0;340;12;0;183;0;1666106,0;7,5;3;False;True;False;False;False
s5TfbNvipdM;"""""""Gehen davon aus, dass der Wahlkampf nicht fair wird""""  - FDP-Fraktionsvize im Frühstart | ntv""";28.11.2024 10:43;437;9058;26,48;0,0;0;23;9;2;41,0;;2,3;0,7;8,1;1,5;8,4;2,6;10,4;6,2;18,0;15,2;26,6;;;477,0;10;0;0;9;0;50949,0;6,5;3;False;False;True;False;False
k6G3L2mHK7E;"""""""Einmal gezogen"""" - Merz verrät Erfahrung mit Cannabis | ntv""";21.03.2024 10:43;656;18708;27,75;3,0;1;44;68;34;131,0;;12,0;1,0;31,2;1,5;22,4;1,7;11,2;2,2;6,2;4,0;6,6;;;1559,0;12;0;0;68;0;111462,0;6,5;2;False;False;True;False;False
R2b28MuDfVc;"""Özdemir zu Bauernprotest: """"Bei manchen fragt man sich, ob sie an Amnesie leiden"""" | ntv""";09.01.2024 13:18;306;168932;39,26;65,0;3;739;2152;292;0,0;0,3;3,2;1,0;9,7;2,2;13,6;3,5;14,1;7,2;19,3;8,9;16,9;;;23061,0;143;0;0;2150;0;1193976,0;6,5;2;False;False;True;False;False
noPi-n164fw;"""FDP-Politiker Vogel im """"ntv Frühstart"""": """"Wir müssen in unsere Abschreckungsfähigkeit investieren""""""";13.02.2024 12:08;436;24712;22,72;14,0;2;97;351;30;0,0;0,2;2,3;0,9;6,2;1,8;9,6;3,3;11,9;8,2;17,8;14,1;23,8;;;1917,0;0;0;0;351;0;983199,0;6,5;2;False;False;True;False;False
6Y7E8Q_o3NU;"""""""Wir müssen wissen, wer in unser Land kommt"""" - FDP-Politikerin Teuteberg  im Frühstart | ntv""";26.03.2024 10:32;436;21589;33,79;8,0;0;165;67;30;138,0;0,5;2,1;0,9;6,1;1,8;8,2;3,0;10,0;8,2;17,0;17,7;24,4;;;1028,0;25;0;0;67;0;344524,0;6,5;2;False;False;True;False;False
HKfyrVoKvyc;Zwei Sportuhren im Vergleich - 300 Euro Preisdifferenz | ntv;20.06.2024 16:14;309;4550;16,34;1,0;2;11;1;10;7,0;;;0,7;2,2;3,5;11,8;4,7;15,5;6,4;25,7;5,0;24,5;;;2131,0;0;0;0;1;0;26310,0;6,5;2;False;False;False;True;False
ohzNAOjOq9g;"""Wiedervereinigung """"mit viel mehr Licht als Schatten"""": Carsten Schneider im ntv Frühstart | ntv""";02.10.2024 10:17;481;1350;25,34;1,0;0;5;4;6;19,0;;;;;;;7,9;18,1;5,6;23,2;15,8;29,4;;;18,0;0;0;0;4;0;21661,0;6,5;3;False;False;True;False;False
H1qf0Z55-aU;Abverkauf beim Dax - Schere zwischen US-Markt und Europa - wie geht's weiter? | ntv;09.07.2024 15:19;245;2260;50,11;2,0;0;4;1;5;2,0;;;;7,2;;14,9;;12,9;6,3;23,5;7,2;28,1;;;146,0;20;0;0;1;0;26294,0;6,5;2;False;False;False;False;True
TZy5p4VSrsM;"""Front hält, neue Waffen kommen - Richter: Ob Moskaus Strategie aufgeht, """"ist zweifelhaft"""" | ntv""";23.04.2024 07:36;689;573578;45,21;93,0;2;1294;298;88;468,0;0,2;1,2;0,4;5,6;0,7;14,1;1,0;18,5;1,7;26,1;2,8;27,5;;;12022,0;407;0;0;298;0;1445499,0;7,5;2;False;True;False;False;False
Zt5WrbEaPLk;"""Beim DAX """"gehen einem langsam die Argumente aus"""" - Experte zu immer neuen Allzeithochs | ntv""";10.05.2024 15:03;220;4411;55,11;1,0;0;24;1;2;7,0;;;;6,3;;11,5;;18,4;1,9;30,9;2,3;28,6;;;191,0;2;0;0;1;0;35749,0;6,5;2;False;False;False;False;True
0lNNbfymMZM;"""""""Statt sinnlos zu kürzen, muss Ampel an Superreiche"""" - Linken-Chefin Wissler| ntv #Frühstart""";10.01.2024 11:05;478;37575;25,27;22,0;0;283;287;56;0,0;0,4;2,6;1,2;8,4;2,3;11,1;3,0;11,4;7,6;17,1;12,6;22,3;;;3481,0;25;0;0;287;0;1017031,0;6,5;2;False;False;True;False;False
Q7wGo8VqYJE;Wegen Raserei und Autorennen: Experte fordert Führerschein für Männer erst ab 26 | ntv;13.11.2024 09:50;91;15622;26,99;7,0;1;69;39;47;120,0;;0,8;0,4;2,9;1,3;7,3;2,3;10,3;5,5;22,3;11,4;35,6;;;3908,0;21;0;0;39;0;64649,0;7,5;2;False;False;True;False;False
5D1cWdr8S_k;Union baut Führung aus, AfD dahinter, FDP wäre raus  | ntv Trendbarometer;24.09.2024 14:36;944;118639;12,9;19,0;0;230;73;18;126,0;0,1;1,2;0,3;2,8;0,9;5,7;2,0;8,8;5,2;20,2;13,6;39,2;;;2395,0;35;2;0;73;0;333528,0;6,5;3;False;False;True;False;False
TeOIbc4857I;"""""""Ich zerstückele dich"""": Athletin kommt nach Interview auf Taliban-Todesliste | ntv""";16.11.2024 10:00;166;7993;52,85;3,0;0;169;11;46;54,0;;3,9;0,5;10,5;1,6;14,5;2,5;14,8;5,1;21,7;7,0;18,0;;;158,0;12;1;0;11;0;66326,0;6,5;3;False;False;False;True;False
RAkbf-22DJw;"""Ukraine-Hilfen aus den USA """"könnte Europa nicht abfedern"""" -  Faber im ntv Frühstart | ntv""";22.07.2024 12:38;432;3703;25,73;3,0;2;17;9;8;17,0;;;;3,6;;11,4;3,2;11,8;4,4;20,6;13,5;31,3;;;55,0;6;0;0;9;0;27792,0;6,5;2;False;True;False;False;False
S1vHVSPYIYE;Energiewende extrem: Fusion statt Windkraft? | ntv;13.11.2024 08:00;626;10367;35,53;1,0;1;38;13;14;43,0;;;;4,5;;10,8;;19,2;1,2;30,9;2,5;30,9;;;100,0;0;0;0;13;0;43787,0;8,5;2;False;False;False;False;True
PR_GWhlhb-g;"""""""Ist sie indisch oder schwarz?"""" - Trump empört mit Aussage über Harris' Abstammung | ntv""";01.08.2024 11:31;256;64766;53,13;24,0;1;274;104;133;211,0;0,6;6,8;2,1;14,1;2,3;13,7;2,7;11,6;4,2;17,4;7,0;17,5;;;4109,0;280;0;0;104;0;384463,0;6,5;2;False;False;True;False;False
36zxLqe84xs;Neue Regeln, alte Kandidaten: Biden vs. Trump - ein TV-Duell wie kein anderes | ntv;27.06.2024 10:28;170;61109;52,22;39,0;1;382;75;109;222,0;0,6;6,0;1,3;12,6;1,8;11,7;2,4;10,0;5,4;14,3;12,9;20,7;;1,0;5199,0;0;0;0;75;0;1173031,0;6,5;2;False;False;True;False;False
pobdxpcijac;Astronauten üben auf Fake-Mondoberfläche in Köln - Lunar-Zentrum fertiggestellt  | ntv;26.09.2024 09:22;95;2102;37,75;4,0;3;29;6;38;32,0;;3,8;1,1;9,3;1,9;13,0;3,1;14,0;6,1;17,7;9,1;20,9;;;594,0;16;0;0;6;0;96466,0;8,5;2;False;False;False;True;False
a4KLHzLpjMk;Gefahr, Übertragung, Ausbreitung: Was man zur Candida-auris-Pilzinfektion wissen muss | ntv;06.05.2024 09:36;83;1817;60,88;2,0;1;46;7;24;13,0;;3,1;;6,5;1,4;14,6;5,2;12,7;9,0;13,2;15,0;19,3;;;331,0;7;0;0;7;0;16346,0;6,5;1;False;False;False;True;False
7dvuoI2o4G8;Robo-Küchen digitalisieren internationale Gastronomie| ntv Startup Magazin;22.09.2024 09:29;315;1064;29,13;2,0;1;18;7;14;14,0;;;;12,0;;20,9;;15,7;;24,6;;26,7;;;52,0;4;0;0;7;0;22451,0;6,5;2;False;False;False;False;True
